timestamp,event,total_in,total_out,occupancy
2023-05-16 09:37:00,IN,9,4,5
2023-05-16 09:39:00,OUT,9,5,4
2023-05-16 09:43:00,OUT,9,6,3
2023-05-16 09:51:00,OUT,9,7,2
2023-05-16 09:58:00,OUT,9,8,1
2023-05-16 10:05:00,OUT,9,9,0
2023-05-16 10:11:00,IN,10,9,1
2023-05-16 10:17:00,OUT,10,10,0
2023-05-16 10:20:00,IN,11,10,1
2023-05-16 10:25:00,IN,12,10,2
2023-05-16 10:29:00,OUT,12,11,1
2023-05-16 10:31:00,IN,13,11,2
2023-05-16 10:35:00,OUT,13,12,1
2023-05-16 10:39:00,IN,14,12,2
2023-05-16 10:42:00,IN,15,12,3
2023-05-16 10:47:00,IN,16,12,4
2023-05-16 10:55:00,IN,17,12,5
2023-05-16 11:01:00,IN,18,12,6
2023-05-16 11:05:00,IN,19,12,7
2023-05-16 11:08:00,IN,20,12,8
2023-05-16 11:14:00,IN,21,12,9
2023-05-16 11:19:00,OUT,21,13,8
2023-05-16 11:24:00,OUT,21,14,7
2023-05-16 11:31:00,OUT,21,15,6
2023-05-16 11:39:00,IN,22,15,7
2023-05-16 11:47:00,IN,23,15,8
2023-05-16 11:49:00,IN,24,15,9
2023-05-16 11:53:00,IN,25,15,10
2023-05-16 12:00:00,OUT,25,16,9
2023-05-16 12:10:00,IN,26,16,10
2023-05-16 12:18:00,IN,27,16,11
2023-05-16 12:33:00,OUT,27,17,10
2023-05-16 12:44:00,OUT,27,18,9
2023-05-16 12:58:00,OUT,27,19,8
2023-05-16 13:06:00,IN,28,19,9
2023-05-16 13:17:00,OUT,28,20,8
2023-05-16 13:25:00,OUT,28,21,7
2023-05-16 13:35:00,OUT,28,22,6
2023-05-16 13:48:00,IN,29,22,7
2023-05-16 14:03:00,OUT,29,23,6
2023-05-16 14:07:00,OUT,29,24,5
2023-05-16 14:13:00,IN,30,24,6
2023-05-16 14:16:00,IN,31,24,7
2023-05-16 14:23:00,IN,32,24,8
2023-05-16 14:29:00,IN,33,24,9
2023-05-16 14:35:00,IN,34,24,10
2023-05-16 14:43:00,OUT,34,25,9
2023-05-16 14:48:00,IN,35,25,10
2023-05-16 14:56:00,OUT,35,26,9
2023-05-16 15:04:00,IN,36,26,10
2023-05-16 15:06:00,IN,37,26,11
2023-05-16 15:11:00,OUT,37,27,10
2023-05-16 15:17:00,IN,38,27,11
2023-05-16 15:20:00,IN,39,27,12
2023-05-16 15:25:00,OUT,39,28,11
2023-05-16 15:27:00,OUT,39,29,10
2023-05-16 15:31:00,IN,40,29,11
2023-05-16 15:35:00,IN,41,29,12
2023-05-16 15:41:00,IN,42,29,13
2023-05-16 15:45:00,OUT,42,30,12
2023-05-16 15:49:00,OUT,42,31,11
2023-05-16 15:52:00,IN,43,31,12
2023-05-16 15:59:00,OUT,43,32,11
2023-05-16 16:02:00,IN,44,32,12
2023-05-16 16:07:00,IN,45,32,13
2023-05-16 16:14:00,OUT,45,33,12
2023-05-16 16:18:00,OUT,45,34,11
2023-05-16 16:22:00,IN,46,34,12
2023-05-16 16:27:00,IN,47,34,13
2023-05-16 16:32:00,IN,48,34,14
2023-05-16 16:34:00,OUT,48,35,13
2023-05-16 16:40:00,IN,49,35,14
2023-05-16 16:43:00,IN,50,35,15
2023-05-16 16:48:00,OUT,50,36,14
2023-05-16 16:56:00,OUT,50,37,13
2023-05-16 17:01:00,IN,51,37,14
2023-05-16 17:03:00,IN,52,37,15
2023-05-16 17:05:00,OUT,52,38,14
2023-05-16 17:08:00,OUT,52,39,13
2023-05-16 17:15:00,IN,53,39,14
2023-05-16 17:18:00,IN,54,39,15
2023-05-16 17:21:00,IN,55,39,16
2023-05-16 17:25:00,IN,56,39,17
2023-05-16 17:30:00,IN,57,39,18
2023-05-16 17:32:00,OUT,57,40,17
2023-05-16 17:37:00,OUT,57,41,16
2023-05-16 17:43:00,IN,58,41,17
2023-05-16 17:46:00,OUT,58,42,16
2023-05-16 17:51:00,OUT,58,43,15
2023-05-16 17:53:00,IN,59,43,16
2023-05-16 17:56:00,OUT,59,44,15
2023-05-16 18:01:00,IN,60,44,16
2023-05-16 18:06:00,IN,61,44,17
2023-05-16 18:16:00,IN,62,44,18
2023-05-16 18:26:00,OUT,62,45,17
2023-05-16 18:36:00,IN,63,45,18
2023-05-16 18:51:00,OUT,63,46,17
2023-05-16 18:57:00,OUT,63,47,16
2023-05-16 19:07:00,IN,64,47,17
2023-05-16 19:15:00,OUT,64,48,16
2023-05-16 19:24:00,OUT,64,49,15
2023-05-16 19:36:00,OUT,64,50,14
2023-05-16 19:51:00,IN,65,50,15
2023-05-16 20:05:00,OUT,65,51,14
2023-05-16 20:07:00,OUT,65,52,13
2023-05-16 20:08:00,OUT,65,53,12
2023-05-16 20:12:00,OUT,65,54,11
2023-05-16 20:13:00,OUT,65,55,10
2023-05-16 20:16:00,OUT,65,56,9
2023-05-16 20:17:00,OUT,65,57,8
2023-05-16 20:21:00,OUT,65,58,7
2023-05-16 20:23:00,OUT,65,59,6
2023-05-16 20:28:00,OUT,65,60,5
2023-05-16 20:32:00,OUT,65,61,4
2023-05-16 20:36:00,OUT,65,62,3
2023-05-16 20:39:00,OUT,65,63,2
2023-05-16 20:44:00,OUT,65,64,1
2023-05-16 20:45:00,OUT,65,65,0
2023-05-24 08:00:00,IN,1,0,1
2023-05-24 08:09:00,IN,2,0,2
2023-05-24 08:23:00,OUT,2,1,1
2023-05-24 08:31:00,OUT,2,2,0
2023-05-24 08:44:00,IN,3,2,1
2023-05-24 08:52:00,IN,4,2,2
2023-05-24 09:04:00,IN,5,2,3
2023-05-24 09:11:00,IN,6,2,4
2023-05-24 09:19:00,OUT,6,3,3
2023-05-24 09:25:00,IN,7,3,4
2023-05-24 09:33:00,OUT,7,4,3
2023-05-24 09:41:00,OUT,7,5,2
2023-05-24 09:48:00,OUT,7,6,1
2023-05-24 09:54:00,OUT,7,7,0
2023-05-24 10:01:00,IN,8,7,1
2023-05-24 10:03:00,OUT,8,8,0
2023-05-24 10:09:00,IN,9,8,1
2023-05-24 10:12:00,OUT,9,9,0
2023-05-24 10:18:00,IN,10,9,1
2023-05-24 10:25:00,OUT,10,10,0
2023-05-24 10:32:00,IN,11,10,1
2023-05-24 10:39:00,IN,12,10,2
2023-05-24 10:45:00,IN,13,10,3
2023-05-24 10:51:00,OUT,13,11,2
2023-05-24 10:59:00,OUT,13,12,1
2023-05-24 11:03:00,IN,14,12,2
2023-05-24 11:11:00,OUT,14,13,1
2023-05-24 11:16:00,IN,15,13,2
2023-05-24 11:18:00,IN,16,13,3
2023-05-24 11:25:00,OUT,16,14,2
2023-05-24 11:27:00,IN,17,14,3
2023-05-24 11:35:00,OUT,17,15,2
2023-05-24 11:41:00,OUT,17,16,1
2023-05-24 11:49:00,OUT,17,17,0
2023-05-24 11:54:00,IN,18,17,1
2023-05-24 12:00:00,IN,19,17,2
2023-05-24 12:10:00,OUT,19,18,1
2023-05-24 12:21:00,OUT,19,19,0
2023-05-24 12:26:00,IN,20,19,1
2023-05-24 12:32:00,OUT,20,20,0
2023-05-24 12:39:00,IN,21,20,1
2023-05-24 12:48:00,IN,22,20,2
2023-05-24 12:57:00,OUT,22,21,1
2023-05-24 13:10:00,OUT,22,22,0
2023-05-24 13:15:00,IN,23,22,1
2023-05-24 13:27:00,IN,24,22,2
2023-05-24 13:36:00,IN,25,22,3
2023-05-24 13:49:00,IN,26,22,4
2023-05-24 13:55:00,OUT,26,23,3
2023-05-24 14:10:00,IN,27,23,4
2023-05-24 14:16:00,OUT,27,24,3
2023-05-24 14:20:00,OUT,27,25,2
2023-05-24 14:28:00,IN,28,25,3
2023-05-24 14:31:00,IN,29,25,4
2023-05-24 14:35:00,IN,30,25,5
2023-05-24 14:39:00,IN,31,25,6
2023-05-24 14:47:00,IN,32,25,7
2023-05-24 14:50:00,OUT,32,26,6
2023-05-24 14:54:00,OUT,32,27,5
2023-05-24 15:02:00,IN,33,27,6
2023-05-24 15:08:00,IN,34,27,7
2023-05-24 15:11:00,IN,35,27,8
2023-05-24 15:18:00,OUT,35,28,7
2023-05-24 15:24:00,IN,36,28,8
2023-05-24 15:30:00,IN,37,28,9
2023-05-24 15:37:00,IN,38,28,10
2023-05-24 15:39:00,OUT,38,29,9
2023-05-24 15:43:00,IN,39,29,10
2023-05-24 15:50:00,OUT,39,30,9
2023-05-24 15:54:00,OUT,39,31,8
2023-05-24 16:00:00,IN,40,31,9
2023-05-24 16:04:00,IN,41,31,10
2023-05-24 16:11:00,IN,42,31,11
2023-05-24 16:19:00,OUT,42,32,10
2023-05-24 16:26:00,OUT,42,33,9
2023-05-24 16:32:00,OUT,42,34,8
2023-05-24 16:35:00,OUT,42,35,7
2023-05-24 16:40:00,OUT,42,36,6
2023-05-24 16:48:00,IN,43,36,7
2023-05-24 16:54:00,IN,44,36,8
2023-05-24 16:58:00,OUT,44,37,7
2023-05-24 17:03:00,IN,45,37,8
2023-05-24 17:07:00,IN,46,37,9
2023-05-24 17:12:00,OUT,46,38,8
2023-05-24 17:19:00,IN,47,38,9
2023-05-24 17:24:00,IN,48,38,10
2023-05-24 17:28:00,OUT,48,39,9
2023-05-24 17:35:00,IN,49,39,10
2023-05-24 17:39:00,IN,50,39,11
2023-05-24 17:42:00,OUT,50,40,10
2023-05-24 17:45:00,IN,51,40,11
2023-05-24 17:51:00,IN,52,40,12
2023-05-24 17:56:00,IN,53,40,13
2023-05-24 17:59:00,IN,54,40,14
2023-05-24 18:01:00,OUT,54,41,13
2023-05-24 18:09:00,IN,55,41,14
2023-05-24 18:23:00,IN,56,41,15
2023-05-24 18:32:00,OUT,56,42,14
2023-05-24 18:40:00,OUT,56,43,13
2023-05-24 18:48:00,IN,57,43,14
2023-05-24 18:53:00,OUT,57,44,13
2023-05-24 19:05:00,IN,58,44,14
2023-05-24 19:10:00,OUT,58,45,13
2023-05-24 19:15:00,OUT,58,46,12
2023-05-24 19:28:00,OUT,58,47,11
2023-05-24 19:34:00,IN,59,47,12
2023-05-24 19:48:00,OUT,59,48,11
2023-05-24 20:06:00,OUT,59,49,10
2023-05-24 20:07:00,OUT,59,50,9
2023-05-24 20:08:00,OUT,59,51,8
2023-05-24 20:09:00,OUT,59,52,7
2023-05-24 20:12:00,OUT,59,53,6
2023-05-24 20:13:00,OUT,59,54,5
2023-05-24 20:17:00,OUT,59,55,4
2023-05-24 20:22:00,OUT,59,56,3
2023-05-24 20:23:00,OUT,59,57,2
2023-05-24 20:28:00,OUT,59,58,1
2023-05-24 20:31:00,OUT,59,59,0
2023-06-10 08:00:00,IN,1,0,1
2023-06-10 08:14:00,IN,2,0,2
2023-06-10 08:23:00,IN,3,0,3
2023-06-10 08:28:00,OUT,3,1,2
2023-06-10 08:42:00,IN,4,1,3
2023-06-10 08:49:00,OUT,4,2,2
2023-06-10 08:59:00,IN,5,2,3
2023-06-10 09:10:00,IN,6,2,4
2023-06-10 09:18:00,OUT,6,3,3
2023-06-10 09:23:00,IN,7,3,4
2023-06-10 09:30:00,IN,8,3,5
2023-06-10 09:38:00,IN,9,3,6
2023-06-10 09:42:00,IN,10,3,7
2023-06-10 09:50:00,IN,11,3,8
2023-06-10 09:53:00,OUT,11,4,7
2023-06-10 10:01:00,IN,12,4,8
2023-06-10 10:04:00,OUT,12,5,7
2023-06-10 10:09:00,IN,13,5,8
2023-06-10 10:12:00,IN,14,5,9
2023-06-10 10:19:00,OUT,14,6,8
2023-06-10 10:21:00,OUT,14,7,7
2023-06-10 10:29:00,OUT,14,8,6
2023-06-10 10:36:00,OUT,14,9,5
2023-06-10 10:42:00,IN,15,9,6
2023-06-10 10:50:00,OUT,15,10,5
2023-06-10 10:53:00,OUT,15,11,4
2023-06-10 11:01:00,OUT,15,12,3
2023-06-10 11:04:00,OUT,15,13,2
2023-06-10 11:06:00,OUT,15,14,1
2023-06-10 11:09:00,OUT,15,15,0
2023-06-10 11:15:00,IN,16,15,1
2023-06-10 11:19:00,IN,17,15,2
2023-06-10 11:26:00,IN,18,15,3
2023-06-10 11:29:00,IN,19,15,4
2023-06-10 11:31:00,IN,20,15,5
2023-06-10 11:39:00,IN,21,15,6
2023-06-10 11:42:00,IN,22,15,7
2023-06-10 11:44:00,IN,23,15,8
2023-06-10 11:46:00,IN,24,15,9
2023-06-10 11:53:00,OUT,24,16,8
2023-06-10 12:00:00,OUT,24,17,7
2023-06-10 12:09:00,OUT,24,18,6
2023-06-10 12:20:00,IN,25,18,7
2023-06-10 12:35:00,IN,26,18,8
2023-06-10 12:41:00,IN,27,18,9
2023-06-10 12:55:00,IN,28,18,10
2023-06-10 13:03:00,OUT,28,19,9
2023-06-10 13:08:00,IN,29,19,10
2023-06-10 13:15:00,IN,30,19,11
2023-06-10 13:20:00,IN,31,19,12
2023-06-10 13:30:00,IN,32,19,13
2023-06-10 13:45:00,IN,33,19,14
2023-06-10 13:57:00,OUT,33,20,13
2023-06-10 14:10:00,IN,34,20,14
2023-06-10 14:13:00,OUT,34,21,13
2023-06-10 14:16:00,OUT,34,22,12
2023-06-10 14:21:00,IN,35,22,13
2023-06-10 14:29:00,OUT,35,23,12
2023-06-10 14:34:00,IN,36,23,13
2023-06-10 14:39:00,IN,37,23,14
2023-06-10 14:44:00,OUT,37,24,13
2023-06-10 14:51:00,IN,38,24,14
2023-06-10 14:59:00,IN,39,24,15
2023-06-10 15:07:00,IN,40,24,16
2023-06-10 15:11:00,IN,41,24,17
2023-06-10 15:16:00,OUT,41,25,16
2023-06-10 15:24:00,OUT,41,26,15
2023-06-10 15:30:00,IN,42,26,16
2023-06-10 15:33:00,OUT,42,27,15
2023-06-10 15:36:00,IN,43,27,16
2023-06-10 15:42:00,OUT,43,28,15
2023-06-10 15:49:00,OUT,43,29,14
2023-06-10 15:53:00,IN,44,29,15
2023-06-10 15:56:00,IN,45,29,16
2023-06-10 15:59:00,OUT,45,30,15
2023-06-10 16:01:00,IN,46,30,16
2023-06-10 16:06:00,IN,47,30,17
2023-06-10 16:10:00,OUT,47,31,16
2023-06-10 16:13:00,OUT,47,32,15
2023-06-10 16:20:00,IN,48,32,16
2023-06-10 16:25:00,OUT,48,33,15
2023-06-10 16:33:00,IN,49,33,16
2023-06-10 16:35:00,OUT,49,34,15
2023-06-10 16:43:00,OUT,49,35,14
2023-06-10 16:49:00,IN,50,35,15
2023-06-10 16:57:00,OUT,50,36,14
2023-06-10 17:01:00,IN,51,36,15
2023-06-10 17:03:00,IN,52,36,16
2023-06-10 17:11:00,IN,53,36,17
2023-06-10 17:17:00,OUT,53,37,16
2023-06-10 17:25:00,IN,54,37,17
2023-06-10 17:29:00,OUT,54,38,16
2023-06-10 17:32:00,OUT,54,39,15
2023-06-10 17:39:00,IN,55,39,16
2023-06-10 17:46:00,OUT,55,40,15
2023-06-10 17:48:00,OUT,55,41,14
2023-06-10 17:54:00,OUT,55,42,13
2023-06-10 18:01:00,OUT,55,43,12
2023-06-10 18:14:00,IN,56,43,13
2023-06-10 18:20:00,IN,57,43,14
2023-06-10 18:30:00,OUT,57,44,13
2023-06-10 18:40:00,IN,58,44,14
2023-06-10 18:54:00,OUT,58,45,13
2023-06-10 19:03:00,OUT,58,46,12
2023-06-10 19:16:00,IN,59,46,13
2023-06-10 19:31:00,OUT,59,47,12
